iter	Passed	Remaining
0	2	2041
1	3	1850
2	5	1801
3	7	1769
4	8	1750
5	10	1738
6	12	1730
7	13	1718
8	15	1709
9	17	1699
10	18	1698
11	20	1689
12	22	1677
13	23	1666
14	25	1681
15	27	1675
16	28	1668
17	30	1663
18	32	1665
19	33	1660
20	35	1656
21	37	1651
22	39	1659
23	40	1650
24	42	1654
25	44	1653
26	45	1653
27	47	1648
28	49	1642
29	50	1642
30	52	1639
31	54	1637
32	55	1634
33	57	1634
34	59	1629
35	60	1626
36	62	1624
37	64	1622
38	65	1618
39	67	1614
40	69	1617
41	70	1615
42	72	1611
43	73	1607
44	75	1607
45	77	1603
46	78	1599
47	80	1596
48	82	1598
49	84	1597
50	85	1594
51	87	1592
52	88	1590
53	90	1588
54	92	1585
55	93	1584
56	95	1582
57	97	1581
58	99	1579
59	100	1579
60	102	1578
61	104	1575
62	105	1572
63	107	1571
64	109	1571
65	111	1571
66	112	1571
67	114	1570
68	116	1568
69	117	1565
70	119	1566
71	121	1567
72	123	1566
73	125	1566
74	127	1575
75	129	1574
76	132	1585
77	134	1586
78	135	1584
79	139	1600
80	141	1601
81	142	1600
82	146	1620
83	148	1618
84	150	1615
85	152	1615
86	154	1616
87	155	1615
88	158	1621
89	160	1619
90	161	1615
91	163	1612
92	165	1610
93	166	1608
94	168	1605
95	172	1620
96	173	1619
97	176	1619
98	177	1619
99	179	1616
100	181	1614
101	183	1618
102	185	1615
103	187	1612
104	189	1618
105	191	1615
106	193	1611
107	195	1612
108	197	1612
109	199	1610
110	201	1609
111	202	1608
112	204	1604
113	206	1602
114	208	1602
115	210	1600
116	211	1597
117	213	1598
118	215	1596
119	217	1593
120	219	1592
121	221	1591
122	222	1588
123	224	1585
124	226	1585
125	228	1583
126	230	1581
127	232	1581
128	234	1581
129	235	1578
130	237	1576
131	239	1575
132	241	1573
133	243	1571
134	245	1571
135	247	1569
136	248	1567
137	251	1567
138	252	1566
139	254	1563
140	258	1572
141	259	1570
142	261	1568
143	263	1568
144	265	1566
145	267	1564
146	269	1564
147	271	1562
148	273	1559
149	275	1562
150	277	1560
151	279	1559
152	281	1559
153	283	1556
154	285	1554
155	286	1552
156	289	1551
157	290	1549
158	292	1547
159	294	1545
160	296	1544
161	298	1541
162	300	1541
163	301	1538
164	303	1536
165	306	1540
166	308	1538
167	310	1536
168	312	1535
169	314	1533
170	315	1530
171	318	1531
172	319	1529
173	321	1527
174	323	1525
175	325	1524
176	327	1524
177	329	1521
178	331	1519
179	332	1516
180	334	1513
181	336	1512
182	338	1510
183	340	1508
184	341	1505
185	343	1503
186	345	1501
187	347	1499
188	349	1501
189	351	1499
190	354	1503
191	357	1502
192	358	1500
193	360	1499
194	362	1497
195	364	1494
196	366	1492
197	368	1490
198	369	1488
199	371	1485
200	373	1483
201	375	1482
202	376	1479
203	378	1477
204	380	1476
205	382	1474
206	384	1473
207	387	1473
208	388	1471
209	390	1468
210	392	1466
211	394	1466
212	396	1464
213	398	1463
214	400	1461
215	401	1459
216	403	1457
217	405	1455
218	407	1452
219	409	1450
220	410	1448
221	412	1446
222	414	1443
223	415	1440
224	417	1438
225	419	1436
226	421	1434
227	423	1433
228	424	1430
229	426	1427
230	428	1425
231	429	1423
232	431	1420
233	433	1417
234	434	1415
235	436	1414
236	438	1411
237	440	1409
238	442	1409
239	444	1406
240	445	1404
241	447	1402
242	449	1401
243	451	1400
244	453	1398
245	455	1397
246	457	1394
247	459	1393
248	461	1391
249	463	1389
250	464	1387
251	467	1386
252	469	1384
253	470	1382
254	473	1383
255	475	1381
256	477	1380
257	479	1380
258	481	1378
259	483	1376
260	485	1375
261	487	1373
262	489	1371
263	491	1369
264	492	1367
265	494	1364
266	496	1362
267	498	1360
268	499	1358
269	501	1355
270	502	1352
271	504	1351
272	506	1349
273	508	1346
274	510	1345
275	512	1343
276	513	1340
277	515	1338
278	517	1336
279	519	1334
280	520	1332
281	522	1330
282	524	1328
283	525	1325
284	527	1323
285	529	1321
286	531	1319
287	532	1316
288	534	1314
289	536	1312
290	538	1312
291	541	1312
292	543	1310
293	544	1308
294	546	1305
295	548	1304
296	550	1302
297	552	1300
298	553	1298
299	555	1296
300	557	1294
301	559	1292
302	561	1290
303	562	1288
304	564	1286
305	566	1285
306	568	1284
307	570	1281
308	572	1280
309	574	1278
310	576	1276
311	577	1273
312	579	1271
313	581	1269
314	583	1268
315	585	1266
316	586	1264
317	588	1261
318	589	1259
319	592	1258
320	593	1255
321	595	1253
322	597	1251
323	599	1249
324	600	1247
325	602	1244
326	603	1242
327	605	1240
328	606	1237
329	608	1235
330	610	1233
331	612	1231
332	613	1229
333	615	1226
334	616	1224
335	618	1222
336	620	1219
337	621	1217
338	623	1215
339	625	1213
340	626	1210
341	628	1208
342	630	1207
343	631	1205
344	633	1203
345	635	1201
346	637	1199
347	639	1197
348	640	1195
349	642	1193
350	644	1191
351	646	1189
352	648	1188
353	649	1185
354	651	1183
355	653	1182
356	655	1180
357	656	1178
358	658	1175
359	660	1173
360	662	1171
361	663	1169
362	665	1167
363	666	1165
364	668	1163
365	670	1160
366	671	1158
367	673	1156
368	675	1154
369	676	1151
370	678	1149
371	679	1147
372	681	1145
373	683	1143
374	684	1140
375	686	1138
376	687	1136
377	689	1134
378	690	1132
379	692	1130
380	694	1127
381	695	1125
382	697	1123
383	699	1121
384	700	1119
385	702	1117
386	704	1115
387	705	1113
388	707	1111
389	709	1108
390	710	1107
391	712	1105
392	714	1102
393	715	1100
394	717	1098
395	719	1096
396	720	1094
397	722	1092
398	724	1090
399	726	1089
400	728	1088
401	730	1086
402	732	1084
403	733	1082
404	735	1081
405	737	1079
406	739	1077
407	741	1075
408	743	1074
409	745	1072
410	748	1072
411	750	1070
412	751	1068
